[INFO 5:31:25 PM] miguelsolorio.symbols activated
[INFO 5:31:25 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:31:25 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:31:25 PM] symbols.files.associations changed, updating to undefined
[INFO 5:31:27 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:31:27 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:31:27 PM] symbols.files.associations changed, updating to undefined
[INFO 5:32:01 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:32:01 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:32:01 PM] symbols.files.associations changed, updating to undefined
[INFO 5:33:15 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:33:15 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:33:15 PM] symbols.files.associations changed, updating to undefined
[INFO 5:41:15 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:41:15 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:41:15 PM] symbols.files.associations changed, updating to undefined
