[INFO 11:55:15 PM] miguelsolorio.symbols activated
[INFO 11:55:15 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:55:15 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:55:15 PM] symbols.files.associations changed, updating to undefined
[INFO 11:55:16 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:55:16 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:55:16 PM] symbols.files.associations changed, updating to undefined
[INFO 11:55:17 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:55:17 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:55:17 PM] symbols.files.associations changed, updating to undefined
[INFO 11:55:18 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:55:18 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:55:18 PM] symbols.files.associations changed, updating to undefined
[INFO 11:55:22 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:55:22 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:55:22 PM] symbols.files.associations changed, updating to undefined
[INFO 11:55:27 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:55:27 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:55:27 PM] symbols.files.associations changed, updating to undefined
[INFO 11:55:27 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:55:27 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:55:27 PM] symbols.files.associations changed, updating to undefined
[INFO 11:55:29 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:55:29 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:55:29 PM] symbols.files.associations changed, updating to undefined
[INFO 11:55:31 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:55:31 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:55:31 PM] symbols.files.associations changed, updating to undefined
[INFO 11:55:45 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:55:45 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:55:45 PM] symbols.files.associations changed, updating to undefined
[INFO 11:56:12 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:56:12 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:56:12 PM] symbols.files.associations changed, updating to undefined
[INFO 11:56:16 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:56:16 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:56:16 PM] symbols.files.associations changed, updating to undefined
[INFO 11:56:25 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:56:25 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:56:25 PM] symbols.files.associations changed, updating to undefined
[INFO 11:56:50 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:56:50 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:56:50 PM] symbols.files.associations changed, updating to undefined
[INFO 11:57:50 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:57:50 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:57:50 PM] symbols.files.associations changed, updating to undefined
[INFO 11:57:52 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:57:52 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:57:52 PM] symbols.files.associations changed, updating to undefined
[INFO 12:05:12 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:05:12 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:05:12 AM] symbols.files.associations changed, updating to undefined
[INFO 12:05:13 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:05:13 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:05:13 AM] symbols.files.associations changed, updating to undefined
[INFO 12:08:10 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:08:10 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:08:10 AM] symbols.files.associations changed, updating to undefined
[INFO 12:08:11 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:08:11 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:08:11 AM] symbols.files.associations changed, updating to undefined
[INFO 12:15:59 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:15:59 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:15:59 AM] symbols.files.associations changed, updating to undefined
[INFO 12:16:00 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:16:00 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:16:00 AM] symbols.files.associations changed, updating to undefined
[INFO 12:16:36 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:16:36 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:16:36 AM] symbols.files.associations changed, updating to undefined
[INFO 12:17:34 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:17:34 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:17:34 AM] symbols.files.associations changed, updating to undefined
[INFO 12:17:50 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:17:50 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:17:50 AM] symbols.files.associations changed, updating to undefined
[INFO 12:19:12 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:19:12 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:19:12 AM] symbols.files.associations changed, updating to undefined
[INFO 12:20:49 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:20:49 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:20:49 AM] symbols.files.associations changed, updating to undefined
[INFO 12:20:50 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:20:50 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:20:50 AM] symbols.files.associations changed, updating to undefined
[INFO 12:23:10 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:23:10 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:23:10 AM] symbols.files.associations changed, updating to undefined
[INFO 12:23:11 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:23:11 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:23:11 AM] symbols.files.associations changed, updating to undefined
[INFO 12:24:29 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:24:29 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:24:29 AM] symbols.files.associations changed, updating to undefined
[INFO 12:24:30 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:24:30 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:24:30 AM] symbols.files.associations changed, updating to undefined
[INFO 12:24:45 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:24:45 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:24:45 AM] symbols.files.associations changed, updating to undefined
[INFO 12:25:48 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:25:48 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:25:48 AM] symbols.files.associations changed, updating to undefined
[INFO 12:25:49 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:25:49 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:25:49 AM] symbols.files.associations changed, updating to undefined
[INFO 12:29:35 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:29:35 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:29:35 AM] symbols.files.associations changed, updating to undefined
[INFO 12:29:38 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:29:38 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:29:38 AM] symbols.files.associations changed, updating to undefined
[INFO 12:29:51 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:29:51 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:29:51 AM] symbols.files.associations changed, updating to undefined
[INFO 12:30:01 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:30:01 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:30:01 AM] symbols.files.associations changed, updating to undefined
[INFO 12:30:11 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:30:11 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:30:11 AM] symbols.files.associations changed, updating to undefined
[INFO 12:35:37 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:35:37 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:35:37 AM] symbols.files.associations changed, updating to undefined
[INFO 12:35:39 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:35:39 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:35:39 AM] symbols.files.associations changed, updating to undefined
[INFO 12:35:49 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:35:49 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:35:49 AM] symbols.files.associations changed, updating to undefined
[INFO 12:36:44 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:36:44 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:36:44 AM] symbols.files.associations changed, updating to undefined
[INFO 12:37:37 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:37:37 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:37:37 AM] symbols.files.associations changed, updating to undefined
[INFO 12:39:47 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:39:47 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:39:47 AM] symbols.files.associations changed, updating to undefined
[INFO 12:39:49 AM] symbols.hidesExplorerArrows changed, updating to false
