[INFO 6:08:50 PM] miguelsolorio.symbols activated
[INFO 6:08:50 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:08:50 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:08:50 PM] symbols.files.associations changed, updating to undefined
[INFO 6:08:52 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:08:52 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:08:52 PM] symbols.files.associations changed, updating to undefined
[INFO 6:26:54 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:26:54 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:26:54 PM] symbols.files.associations changed, updating to undefined
[INFO 6:37:16 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:37:16 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:37:16 PM] symbols.files.associations changed, updating to undefined
