[INFO 4:17:47 PM] miguelsolorio.symbols activated
[INFO 4:17:47 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:17:47 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:17:47 PM] symbols.files.associations changed, updating to undefined
[INFO 4:17:49 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:17:49 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:17:49 PM] symbols.files.associations changed, updating to undefined
[INFO 4:17:49 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:17:49 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:17:49 PM] symbols.files.associations changed, updating to undefined
[INFO 4:17:50 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:17:50 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:17:50 PM] symbols.files.associations changed, updating to undefined
[INFO 4:17:50 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:17:50 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:17:50 PM] symbols.files.associations changed, updating to undefined
[INFO 4:17:51 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:17:51 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:17:51 PM] symbols.files.associations changed, updating to undefined
[INFO 4:17:52 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:17:52 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:17:52 PM] symbols.files.associations changed, updating to undefined
[INFO 4:18:10 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:18:10 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:18:10 PM] symbols.files.associations changed, updating to undefined
[INFO 4:18:11 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:18:11 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:18:11 PM] symbols.files.associations changed, updating to undefined
[INFO 4:19:21 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:19:21 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:19:21 PM] symbols.files.associations changed, updating to undefined
[INFO 4:19:22 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:19:22 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:19:22 PM] symbols.files.associations changed, updating to undefined
[INFO 4:19:24 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:19:24 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:19:24 PM] symbols.files.associations changed, updating to undefined
[INFO 4:19:25 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:19:25 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:19:25 PM] symbols.files.associations changed, updating to undefined
[INFO 4:19:26 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:19:26 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:19:26 PM] symbols.files.associations changed, updating to undefined
[INFO 4:19:26 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:19:26 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:19:26 PM] symbols.files.associations changed, updating to undefined
[INFO 4:19:27 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:19:27 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:19:27 PM] symbols.files.associations changed, updating to undefined
[INFO 4:19:28 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:19:28 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:19:28 PM] symbols.files.associations changed, updating to undefined
[INFO 4:22:22 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:22:22 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:22:22 PM] symbols.files.associations changed, updating to undefined
[INFO 4:24:02 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:24:02 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:24:02 PM] symbols.files.associations changed, updating to undefined
[INFO 4:24:02 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:24:02 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:24:02 PM] symbols.files.associations changed, updating to undefined
[INFO 4:24:05 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:24:05 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:24:05 PM] symbols.files.associations changed, updating to undefined
[INFO 4:24:07 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:24:07 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:24:07 PM] symbols.files.associations changed, updating to undefined
[INFO 4:27:54 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:27:54 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:27:54 PM] symbols.files.associations changed, updating to undefined
[INFO 4:27:56 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:27:56 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:27:56 PM] symbols.files.associations changed, updating to undefined
